;gene1;gene2;cor
1;ISG15;STAT1;0,644201493893266
2;ISG15;SP100;0,64154778495687
3;ISG15;NR4A3;0,642303669978427
4;ISG15;STAT2;0,621667604221461
5;GPR157;SP110;0,623563805055394
6;CASZ1;SP100;0,617629316661035
7;CASZ1;RUNX2;0,624444323396961
8;NECAP2;PLSCR1;0,606427079508475
9;IFI6;STAT1;0,637438186034665
10;IFI6;SP100;0,629565245321454
11;IFI6;NR4A3;0,627147691851931
12;IFI6;STAT2;0,62417577565851
13;SMAP2;SP110;0,626874122366619
14;NASP;ELF4;0,60719203695098
15;PIK3R3;SP100;0,630685090251709
16;PIK3R3;STAT2;0,628006465128619
17;IFI44L;STAT1;0,626380049949739
18;IFI44;STAT1;0,626624083326505
19;IFI44;NR4A3;0,630656153818207
20;GBP4;SP110;0,602987084063525
21;LRRC8D;TRAFD1;0,60546593667147
22;BCAR3;SP110;0,618942612213975
23;FAM72B;SP100;0,606320294905111
24;FAM72B;STAT2;0,622352869322503
25;SRGAP2B;STAT1;0,610551650079126
26;SRGAP2B;SP100;0,610952492779801
27;SRGAP2B;PLSCR1;0,608523355662283
28;SRGAP2B;NR4A3;0,617216710173091
29;SRGAP2B;STAT2;0,626375550711582
30;RFX5;SP110;0,611166592959976
31;TDRKH;STAT1;0,636977470301292
32;TDRKH;NR4A3;0,613363040784563
33;ATP8B2;ELF4;0,601205216355502
34;TSACC;SP110;0,624044814146051
35;RGS1;SP110;0,617421591115473
36;RGS1;KLF6;0,618209982377028
37;ZNF496;STAT1;0,614593253287965
38;ZNF496;NR4A3;0,621146657598516
39;RSAD2;SP100;0,627677432743865
40;RSAD2;RUNX2;0,630523233638488
41;RSAD2;STAT2;0,600823012084033
42;UBXN2A;ELF4;0,604621773803637
43;OTOF;STAT1;0,621404094266639
44;OTOF;SP100;0,626174082585144
45;OTOF;PLSCR1;0,611625038926436
46;OTOF;NR4A3;0,616172257079246
47;OTOF;STAT2;0,632505014162289
48;EIF2AK2;PLSCR1;0,600886599143237
49;EIF2AK2;IRF7;0,602837192378266
50;QPCT;SP110;0,607839230398987
51;QPCT;TRAFD1;0,620470409137987
52;HAAO;TRAFD1;0,601959497117199
